词语,TF-IDF值
林巧稚,0.9506193650213377
协和,0.11903785017007494
大夫,0.09664261024042516
产妇,0.06036493724665879
总理,0.057272692519390336
病人,0.055578103647806285
协和医院,0.047605351612962137
子宫,0.04166030880403212
住院医师,0.03910967765276485
协和 医学院,0.03570883611774182
鼓浪屿,0.0357040137097216
北京,0.03507397448861889
人民,0.03412690574865298
北平,0.032664719438118966
妇女,0.032176796848729955
大哥,0.029009511139148802
手术,0.027301524598922385
可是,0.02708243599754117
厦门,0.02603417666333867
病房,0.025791534203516236
患者,0.02523445934055546
事业,0.02397461547323317
立即,0.02397461547323317
大姐,0.023807570034014985
一切,0.023530641112617736
共产党,0.023146248644181237
门诊,0.02125525959389394
同志,0.02047614344919179
护士,0.0204023288285342
祖国,0.018646923145848017
脸上,0.018254715267635863
面前,0.01775897442461716
医师,0.01771781187741128
婴儿,0.01731500006400173
心中,0.01731500006400173
突然,0.01731500006400173
妇科,0.01710817323590827
医疗,0.01706345287432649
上海,0.016644005096962112
侄女,0.01662931171395147
姑娘,0.01662931171395147
值班,0.016364339616955735
医科大学,0.016364339616955735
人家,0.016088398424364977
日本,0.015983076982155443
二哥,0.015303786907603638
协和 医科大学,0.015303786907603638
普查,0.015303786907603638
看病,0.015303786907603638
一看,0.015210391966176243
国民党,0.014876672379050668
一声,0.014847599744599527
常常,0.014651153900309157
只得,0.014549070576342494
解放,0.01395948814583919
临床,0.013887749186508744
咱们,0.013887749186508744
目光,0.0137632051790783
花圈,0.013603366140092122
这天,0.013603366140092122
听说,0.01331923081846287
看着,0.01331923081846287
肿瘤,0.013226427796674992
住院,0.013163235074480435
心头,0.013163235074480435
看见,0.013163235074480435
首都,0.013163235074480435
一家人,0.013065887775247585
上帝,0.013065887775247585
微笑,0.012885681365390022
忽然,0.012875256457847442
会场,0.012565106406841242
毛主席,0.012565106406841242
周恩来,0.012471983785463605
全国,0.012431282097232012
特意,0.012188180624518923
院长,0.012188180624518923
第二天,0.011987307736616585
老人,0.011987307736616585
只见,0.011903785017007493
应当,0.011543333376001153
一个个,0.011274971194716269
保健,0.011242463627173745
燕京大学,0.011242463627173745
连连,0.011242463627173745
不知,0.011213126174557409
江青,0.011157504284288002
一把,0.011099359015385725
一片,0.011099359015385725
农村,0.010738067804491684
轻轻地,0.010738067804491684
门口,0.010725598949576651
代表团,0.010690271816111662
连忙,0.010690271816111662
领导,0.010655384654770296
分娩,0.010581142237339995
接过,0.010581142237339995
使劲,0.010413670665335467
六月,0.010413670665335467
周总理,0.010413670665335467
