scientist,total_relationships,collaborators_count,advisors_count,students_count,colleagues_count,institutions_count,collaborators_detailed,advisors_detailed,students_detailed,colleagues_detailed,institutions_detailed
丽丝·迈特纳,0,0,0,0,0,0,[],[],[],[],[]
何泽慧,0,0,0,0,0,0,[],[],[],[],[]
卡塔林·考里科,0,0,0,0,0,0,[],[],[],[],[]
吴健雄,0,0,0,0,0,0,[],[],[],[],[]
埃达·洛夫莱斯,0,0,0,0,0,0,[],[],[],[],[]
居里夫人传 ),0,0,0,0,0,0,[],[],[],[],[]
屠呦呦,0,0,0,0,0,0,[],[],[],[],[]
杜德娜,0,0,0,0,0,0,[],[],[],[],[]
林巧稚,0,0,0,0,0,0,[],[],[],[],[]
谢希德,0,0,0,0,0,0,[],[],[],[],[]
