scientist,avg_sentiment,normalized_avg_sentiment,sentiment_entropy,sentiment_intensity,sentiment_variance,sentiment_confidence,positive_ratio,negative_ratio,neutral_ratio,positive_count,negative_count,neutral_count,total_sentences,pos_threshold_used,neg_threshold_used
丽丝·迈特纳,0.08500333333333332,0.35625465040247123,1.5,0.14783666666666667,0.06791590226666668,0.6923191999122034,0.25,0.25,0.5,1,1,2,4,0.12355555555555554,-0.12355555555555554
何泽慧,-0.0021880022250476794,0.683330601118091,0.195582996380152,0.006558151621106167,0.001560127159458613,0.591375616338067,0.008547008547008548,0.017094017094017096,0.9743589743589743,2,4,228,234,0.12594829558453444,-0.12594829558453444
卡塔林·考里科,-0.004683958333333325,0.5093264025143522,1.061278124459133,0.11136645833333332,0.05133639456180553,0.4961232780589843,0.125,0.125,0.75,2,2,12,16,0.12059293044469784,-0.12059293044469784
吴健雄,0.005994813725490195,0.6369147339984867,0.6305941785433513,0.052081088235294115,0.027689787494628332,0.6760381648764262,0.0784313725490196,0.0392156862745098,0.8823529411764706,8,4,90,102,0.129348166460651,-0.129348166460651
埃达·洛夫莱斯,0.014345485149509105,0.46973744226715125,0.4974840112486131,0.029529163637297663,0.01047512106071146,0.693616946937007,0.06147540983606557,0.02459016393442623,0.9139344262295082,15,6,223,244,0.14464371848278887,-0.14464371848278887
居里夫人传 ),0.00036544851258581227,0.0022883295194508005,0.023369639746044828,0.00036544851258581227,5.836249290846678e-05,0.5992785637799889,0.002288329519450801,0.0,0.9977116704805492,1,0,436,437,0.12203643461288223,-0.12203643461288223
屠呦呦,0.007959117647058823,0.36147770782971866,0.7452176541661317,0.07666147058823529,0.049299963650713007,0.7135550328678804,0.058823529411764705,0.08823529411764706,0.8529411764705882,2,3,29,34,0.12589090909090908,-0.12589090909090908
杜德娜,0.47227697304513677,0.0,-0.0,0.47227697304513677,,0.5,1.0,0.0,0.0,1,0,0,1,0.12110857744255393,-0.12110857744255393
林巧稚,0.00331323849372385,0.0041841004184100415,0.03908175497953278,0.00331323849372385,0.0026236342865941465,0.8971771758321101,0.0041841004184100415,0.0,0.99581589958159,1,0,238,239,0.12040847587439367,-0.12040847587439367
谢希德,0.008128260570304816,0.5872429959944324,0.293383827604085,0.01982631366764995,0.008294307025614147,0.6302752620137622,0.035398230088495575,0.008849557522123894,0.9557522123893806,4,1,108,113,0.12121909633418584,-0.12121909633418584
